City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Port Hedland,AU,80.6,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
6,Rikitea,PF,78.75,clear sky,-23.1203,-134.9692,Pension Maro'i
13,Avarua,CK,77.0,scattered clouds,-21.2078,-159.775,Paradise Inn
16,Muzaffargarh,PK,80.6,haze,30.0754,71.1921,Aghosh Hotel
20,Cabo San Lucas,MX,77.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
23,Palora,EC,78.8,light rain,-1.7,-77.9333,Rancho grande
26,Kutum,SD,76.8,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
27,Puerto Ayora,EC,81.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Bouafle,CI,89.6,clear sky,6.9904,-5.7442,Hotel Zaouli
37,Kirakira,SB,79.0,light rain,-10.4544,161.9205,SanBiz Lodge
49,Cidreira,BR,80.26,overcast clouds,-30.1811,-50.2056,Hotel Castelo
50,Pedernales,DO,82.51,broken clouds,18.0384,-71.744,Hotel Costa Marina
51,Kavieng,PG,78.51,light rain,-2.5744,150.7967,Nusa Island Retreat
53,Akyab,MM,78.93,clear sky,20.15,92.9,Hotel Memory
54,Bowen,AU,75.2,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
56,Butaritari,KI,81.23,light rain,3.0707,172.7902,Isles Sunset Lodge
62,Panna,IN,85.59,scattered clouds,24.7167,80.2,The Jewel of The Jungle
67,Kieta,PG,77.27,light rain,-6.2167,155.6333,Uruna Bay Retreat
79,Panama City,PA,84.2,scattered clouds,8.9936,-79.5197,Hotel Riande Granada Urban
80,Bambous Virieux,MU,80.01,scattered clouds,-20.3428,57.7575,Casa Tia Villa
82,Mecca,SA,78.31,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
84,Lethem,GY,89.08,overcast clouds,3.3803,-59.7968,Savannah Inn
85,Ambon,ID,79.65,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
87,Touros,BR,86.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
89,Altagracia De Orituco,VE,86.76,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
95,Salgueiro,BR,89.96,overcast clouds,-8.0742,-39.1192,Hotel Polo
104,Cururupu,BR,85.39,few clouds,-1.8283,-44.8683,Pousada Través'cia
116,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
117,Arraial Do Cabo,BR,84.2,clear sky,-22.9661,-42.0278,Pousada Porto Praia
120,Cianorte,BR,89.6,clear sky,-23.6633,-52.605,Hotel Cianorte Diamond
123,Tabou,CI,82.2,overcast clouds,4.423,-7.3528,hotêl doufoulougou
127,Ixtapa,MX,80.6,clear sky,20.7,-105.2,Hotel Plaza Providencia
129,Georgetown,MY,80.01,scattered clouds,5.4112,100.3354,Cititel Penang
131,Atuona,PF,80.55,broken clouds,-9.8,-139.0333,Villa Enata
132,Bubaque,GW,77.63,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
135,Porto Novo,BJ,86.0,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
143,Pundaguitan,PH,81.05,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
147,Palmares Do Sul,BR,85.66,overcast clouds,-30.2578,-50.5097,Restaurante e Pensão Lopes
150,Vanimo,PG,77.25,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
151,Mogadishu,SO,83.03,broken clouds,2.0371,45.3438,Olympic Hotel
156,Toro,CO,77.0,scattered clouds,4.6117,-76.0814,Finca La Maria Toro Valle del Cauca
159,Hithadhoo,MV,83.77,broken clouds,-0.6,73.0833,Scoop Guest House
161,Monrovia,LR,84.2,broken clouds,6.3005,-10.7969,Sunset Inn
166,Teknaf,BD,76.28,few clouds,20.8624,92.3058,Forestry Guesthouse
171,Bengkulu,ID,76.08,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
177,Iracoubo,GF,81.86,light rain,5.4802,-53.2011,Le Gite D Iracoubo
187,Kashmor,PK,86.58,scattered clouds,28.4333,69.5833,Kashmore Bus Terminal
188,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
189,Castro,BR,78.4,clear sky,-24.7911,-50.0119,CHACARA BAILLY
198,Geraldton,AU,77.0,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
203,Accra,GH,86.0,scattered clouds,5.556,-0.1969,Accra City Hotel
205,Guane,CU,87.31,broken clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
212,Kupang,ID,76.68,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
214,La Libertad,EC,82.4,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
215,Kinshasa,CD,89.6,few clouds,-4.3246,15.3215,Star Hotel II
218,Mahibadhoo,MV,83.05,few clouds,3.7833,72.9667,Omadhoo Inn
222,Praya,CV,77.0,few clouds,14.9215,-23.5087,LT Aparthotel
229,Mabay,PH,77.86,overcast clouds,6.0577,124.4666,Bautista Lodging House
230,Ormara,PK,79.95,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
241,Ambulu,ID,76.33,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
243,Lorengau,PG,80.47,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
247,Tagusao,PH,78.91,light rain,9.1924,117.8141,Toledo
250,Kanniyakumari,IN,82.56,clear sky,8.0833,77.5667,Sparsa
