City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ostrovnoy,RU,68.0531,39.5131,36.14,74,85,32.57,overcast clouds
1,Snasa,NO,64.2457,12.3778,32.25,79,92,7.83,overcast clouds
2,Port Hedland,AU,-20.3167,118.5667,80.6,94,100,6.91,overcast clouds
3,Albany,US,42.6001,-73.9662,73.99,39,0,4.63,clear sky
4,Te Anau,NZ,-45.4167,167.7167,53.65,95,95,3.22,light rain
5,Keetmanshoop,NA,-26.5833,18.1333,86.0,20,0,6.91,clear sky
6,Rikitea,PF,-23.1203,-134.9692,78.75,71,2,9.51,clear sky
7,Sorland,NO,67.667,12.6934,36.66,78,86,28.16,light snow
8,Nikolskoye,RU,59.7035,30.7861,37.0,86,75,2.24,broken clouds
9,Port Elizabeth,ZA,-33.918,25.5701,64.4,94,40,5.75,scattered clouds
10,Vaini,TO,-21.2,-175.2,68.0,94,20,3.44,few clouds
11,Hilo,US,19.7297,-155.09,66.2,77,90,6.91,overcast clouds
12,Vanavara,RU,60.34,102.2797,3.29,96,14,1.74,few clouds
13,Avarua,CK,-21.2078,-159.775,77.0,100,40,2.3,scattered clouds
14,Bredasdorp,ZA,-34.5322,20.0403,62.6,88,100,4.61,overcast clouds
15,Coquimbo,CL,-29.9533,-71.3436,66.2,59,0,13.8,clear sky
16,Muzaffargarh,PK,30.0754,71.1921,80.6,36,1,6.46,haze
17,Santa Cruz Del Sur,CU,20.7147,-77.9956,83.05,59,94,10.56,light rain
18,Chokurdakh,RU,70.6333,147.9167,-33.03,100,85,3.53,overcast clouds
19,Busselton,AU,-33.65,115.3333,66.0,64,100,5.99,overcast clouds
20,Cabo San Lucas,MX,22.8909,-109.9124,77.0,69,40,10.36,scattered clouds
21,Tasiilaq,GL,65.6145,-37.6368,33.8,60,75,2.3,broken clouds
22,Mar Del Plata,AR,-38.0023,-57.5575,66.99,77,75,17.27,broken clouds
23,Palora,EC,-1.7,-77.9333,78.8,57,75,6.91,light rain
24,Warrington,GB,53.3925,-2.5802,45.0,81,40,8.05,light rain
25,Saskylakh,RU,71.9167,114.0833,-5.4,88,14,10.09,few clouds
26,Kutum,SD,14.2,24.6667,76.8,6,8,12.86,clear sky
27,Puerto Ayora,EC,-0.7393,-90.3518,81.0,85,28,10.0,scattered clouds
28,Omsukchan,RU,62.5333,155.8,-9.04,99,100,5.08,overcast clouds
29,Saint Anthony,US,45.0205,-93.218,48.0,66,90,9.22,overcast clouds
30,Bouafle,CI,6.9904,-5.7442,89.6,51,0,4.61,clear sky
31,Northam,GB,51.0333,-4.2167,48.99,71,37,7.0,scattered clouds
32,Bluff,NZ,-46.6,168.3333,55.99,93,98,3.0,light rain
33,Hay River,CA,60.8156,-115.7999,-2.2,65,93,9.22,overcast clouds
34,Lavrentiya,RU,65.5833,-171.0,-6.56,86,100,12.37,overcast clouds
35,Hobart,AU,-42.8794,147.3294,44.6,70,75,8.05,light rain
36,Druzhba,UA,52.0428,33.9453,41.94,55,4,6.24,clear sky
37,Kirakira,SB,-10.4544,161.9205,79.0,84,100,4.38,light rain
38,Ushuaia,AR,-54.8,-68.3,53.6,54,40,8.05,scattered clouds
39,Thanh Hoa,VN,19.8,105.7667,71.55,97,56,1.34,broken clouds
40,Airai,TL,-8.9266,125.4092,57.58,78,33,1.34,scattered clouds
41,Yellowknife,CA,62.456,-114.3525,6.01,60,20,11.5,few clouds
42,Vestmannaeyjar,IS,63.4427,-20.2734,35.6,64,75,9.22,broken clouds
43,Hermanus,ZA,-34.4187,19.2345,61.0,89,100,2.62,overcast clouds
44,Ngunguru,NZ,-35.6167,174.5,62.01,97,65,3.85,broken clouds
45,Jamestown,US,42.097,-79.2353,71.6,40,1,9.22,clear sky
46,Leh,IN,34.1667,77.5833,31.6,51,85,3.89,overcast clouds
47,Sistranda,NO,63.7256,8.834,35.6,87,40,13.8,scattered clouds
48,Katsuura,JP,35.1333,140.3,50.0,66,20,10.36,few clouds
49,Cidreira,BR,-30.1811,-50.2056,80.26,61,91,9.28,overcast clouds
50,Pedernales,DO,18.0384,-71.744,82.51,60,52,6.13,broken clouds
51,Kavieng,PG,-2.5744,150.7967,78.51,86,100,13.4,light rain
52,Longyearbyen,SJ,78.2186,15.6401,24.8,63,75,23.02,broken clouds
53,Akyab,MM,20.15,92.9,78.93,82,2,9.35,clear sky
54,Bowen,AU,-20.0167,148.2333,75.2,94,40,5.75,scattered clouds
55,Ilulissat,GL,69.2167,-51.1,21.2,86,90,4.61,overcast clouds
56,Butaritari,KI,3.0707,172.7902,81.23,79,100,11.16,light rain
57,Mataura,NZ,-46.1927,168.8643,57.0,93,96,3.0,overcast clouds
58,Shimoda,JP,34.6667,138.95,46.99,79,96,10.18,overcast clouds
59,Atasu,KZ,48.6814,71.6433,43.95,58,88,26.13,overcast clouds
60,Turukhansk,RU,65.8167,87.9833,32.16,98,100,17.0,snow
61,Kolda,SN,12.8833,-14.95,106.43,9,3,0.69,clear sky
62,Panna,IN,24.7167,80.2,85.59,9,38,3.44,scattered clouds
63,Ongandjera,NA,-17.8833,15.0667,78.26,25,2,5.44,clear sky
64,Severo-Kurilsk,RU,50.6789,156.125,28.99,84,100,18.21,overcast clouds
65,Lompoc,US,34.6391,-120.4579,55.4,67,94,16.11,overcast clouds
66,Punta Arenas,CL,-53.15,-70.9167,53.6,62,75,13.8,broken clouds
67,Kieta,PG,-6.2167,155.6333,77.27,89,100,2.48,light rain
68,Tokur,RU,53.1333,132.9,30.72,91,100,8.21,overcast clouds
69,La Ronge,CA,55.1001,-105.2842,35.6,60,100,10.36,overcast clouds
70,Ribeira Grande,PT,38.5167,-28.7,62.6,94,75,12.66,broken clouds
71,Saint George,US,37.1041,-113.5841,70.0,17,1,2.24,clear sky
72,Chuy,UY,-33.6971,-53.4616,67.64,96,100,9.26,moderate rain
73,Vardo,NO,70.3705,31.1107,32.68,63,99,7.9,overcast clouds
74,Bayanday,RU,53.0661,105.5139,24.1,66,53,8.05,broken clouds
75,Esperance,AU,-33.8667,121.9,57.2,88,78,10.36,broken clouds
76,Yar-Sale,RU,66.8333,70.8333,25.74,95,61,10.89,broken clouds
77,Rassvet,RU,46.8333,40.75,43.25,88,100,6.46,overcast clouds
78,Tuatapere,NZ,-46.1333,167.6833,57.0,93,96,3.0,overcast clouds
79,Panama City,PA,8.9936,-79.5197,84.2,74,40,5.75,scattered clouds
